City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,new norfolk,-42.7826,147.0587,7.73,81,92,0.95,AU,1693004349
83,ambalangoda,6.2355,80.0538,26.6,82,89,3.35,LK,1693004349
84,newman,37.3138,-121.0208,35.03,10,0,2.0,US,1693004350
85,bredasdorp,-34.5322,20.0403,9.03,65,73,9.23,ZA,1693004350
86,porto novo,6.4965,2.6036,25.9,93,80,3.41,BJ,1693004350
87,nantucket,41.2835,-70.0995,21.12,48,100,7.5,US,1693004088
88,fortuna,40.5982,-124.1573,21.07,74,20,5.66,US,1693004350
89,sandnessjoen,66.0217,12.6316,13.29,75,22,5.64,NO,1693004351
90,mabaruma,8.2,-59.7833,26.1,82,12,1.79,GY,1693004351
91,albany,42.6001,-73.9662,24.47,89,100,0.28,US,1693004351
92,howard springs,-12.497,131.047,23.79,86,48,4.39,AU,1693004351
93,qaqortoq,60.7167,-46.0333,6.13,96,22,2.18,GL,1693004351
94,rivne,50.6231,26.2274,20.04,48,91,3.43,UA,1693004351
95,zakamensk,50.3741,103.2863,10.4,94,83,1.03,RU,1693004352
96,east london,-33.0153,27.9116,13.09,67,18,14.81,ZA,1693004352
97,nguigmi,14.2495,13.1092,28.99,58,20,3.0,NE,1693004352
98,kodiak,57.79,-152.4072,13.73,88,100,6.69,US,1693004352
99,invercargill,-46.4,168.35,10.01,89,34,1.34,NZ,1693004352
100,vila velha,-20.3297,-40.2925,22.97,96,0,1.54,BR,1693004352
101,puerto ayora,-0.7393,-90.3518,28.98,91,26,2.68,EC,1693004353
102,fale old settlement,-9.3852,-171.2468,28.11,78,90,5.88,TK,1693004353
103,boryeong,36.3493,126.5977,22.98,83,90,1.23,KR,1693004791
104,keflavik,64.0049,-22.5624,13.95,100,100,9.26,IS,1693004353
105,hamilton,39.1834,-84.5333,32.16,72,3,1.34,US,1693004353
106,kuybyshev,55.4475,78.3218,8.74,75,3,1.83,RU,1693004353
107,sao joao da barra,-21.6403,-41.0511,24.05,91,24,4.23,BR,1693004354
108,luanda,-8.8368,13.2343,22.0,83,40,2.06,AO,1693004354
109,skagen,57.7209,10.5839,15.33,86,76,3.49,DK,1693004354
110,vadso,70.0744,29.7487,10.09,87,75,3.09,NO,1693004354
111,flying fish cove,-10.4217,105.6791,23.82,83,75,5.66,CX,1693004305
112,chadan,51.2833,91.5833,13.89,69,68,1.43,RU,1693004354
113,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,94,100,2.0,RU,1693004355
114,richards bay,-28.783,32.0377,20.61,74,9,7.78,ZA,1693004355
115,whitehorse,60.7161,-135.0538,21.43,50,75,6.17,CA,1693004355
116,blackmans bay,-43.0167,147.3167,7.07,77,49,1.62,AU,1693004355
117,kailua-kona,19.6406,-155.9956,29.04,74,14,2.68,US,1693004355
118,nemuro,43.3236,145.575,20.28,97,99,5.73,JP,1693004356
119,medvezh'yegorsk,62.9167,34.4667,8.84,67,28,1.44,RU,1693004356
120,caraballeda,10.6112,-66.8522,31.04,62,100,3.09,VE,1693004356
121,udachny,66.4167,112.4,16.36,58,9,2.68,RU,1693004356
122,tolanaro,-25.0319,46.9987,22.04,78,20,9.26,MG,1693004356
123,uttar char fasson,22.2332,90.7132,25.43,94,100,4.13,BD,1693004357
124,luderitz,-26.6481,15.1594,13.34,76,75,7.87,NA,1693004357
125,port elizabeth,-33.918,25.5701,12.16,71,20,18.01,ZA,1693004357
126,rincon de la victoria,36.7172,-4.2758,32.97,56,42,0.99,ES,1693004357
127,papatowai,-46.5619,169.4708,11.95,71,11,2.74,NZ,1693004357
128,vilyuchinsk,52.9306,158.4028,14.15,83,100,0.78,RU,1693004358
129,morazan,15.3167,-87.6,31.87,86,82,1.66,HN,1693004358
130,salinopolis,-0.6136,-47.3561,26.7,76,23,5.84,BR,1693004358
131,hastings,50.8552,0.5729,16.55,40,9,6.21,GB,1693004358
132,hobyo,5.3505,48.5268,24.95,88,5,10.92,SO,1693004358
133,tanumah,27.1,44.1333,32.23,13,2,3.43,SA,1693004359
134,kimberley,-28.7323,24.7623,6.83,53,0,3.09,ZA,1693004359
135,talnakh,69.4865,88.3972,11.23,88,91,0.79,RU,1693004359
136,meleuz,52.9667,55.9167,11.24,57,96,2.49,RU,1693004359
137,tangalle,6.024,80.7911,25.71,87,100,3.85,LK,1693004359
138,mugia,43.1041,-9.2179,16.62,78,10,5.24,ES,1693004359
139,saipan,15.1355,145.701,29.8,100,100,1.34,MP,1693004360
140,island harbour,50.724,-1.2758,16.63,92,97,0.89,GB,1693004360
141,port lincoln,-34.7333,135.8667,13.21,79,100,4.71,AU,1693004360
142,ribeira grande,38.5167,-28.7,22.22,88,40,3.58,PT,1693004360
143,naze,28.3667,129.4833,25.51,81,21,2.39,JP,1693004361
144,verkhnevilyuysk,63.4453,120.3167,16.06,69,64,1.78,RU,1693004361
145,preobrazheniye,42.9019,133.9064,21.9,93,78,3.31,RU,1693004361
146,vanimo,-2.6741,141.3028,26.81,87,67,1.56,PG,1693004361
147,kingston,17.997,-76.7936,31.53,85,75,4.63,JM,1693004361
148,salahonda,2.1019,-78.7217,27.06,81,68,3.06,CO,1693004362
149,chonchi,-42.6128,-73.8092,7.56,91,48,1.13,CL,1693004362
150,penon blanco,24.7897,-104.0369,28.76,29,7,7.99,MX,1693004362
151,hammerfest,70.6634,23.6821,7.25,93,20,3.09,NO,1693004362
152,taoudenni,22.6783,-3.9836,35.36,12,0,5.24,ML,1693004362
153,kavaratti,10.5669,72.642,28.09,73,99,3.34,IN,1693004362
154,kununurra,-15.7667,128.7333,22.99,28,0,3.6,AU,1693004363
155,hami,42.8,93.45,23.66,31,4,2.65,CN,1693004190
156,holualoa,19.6228,-155.9522,26.97,74,22,2.68,US,1693004363
157,villiers,-27.0303,28.6006,12.16,22,54,5.11,ZA,1693004363
158,egilsstadir,65.2653,-14.3948,10.95,76,0,2.57,IS,1693004364
159,nagqu,31.5,92.0,3.35,95,100,1.98,CN,1693004308
160,st. john's,47.5649,-52.7093,14.53,91,40,2.57,CA,1693004364
161,pontalina,-17.525,-49.4472,28.96,31,69,1.01,BR,1693004364
162,falmouth,50.1544,-5.0711,15.5,100,85,2.06,GB,1693004365
163,gadzhiyevo,69.2551,33.3362,8.69,80,100,4.23,RU,1693004365
164,ancud,-41.8697,-73.8203,6.12,74,34,3.34,CL,1693004365
